id,datasetKey,species,x,y,accuracy,year,institution,source
476478801,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.52694,41.65167,1500,2001,MCZ,gbif
476478699,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.52806,41.67667,1500,2001,MCZ,gbif
476478680,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45083,41.63639,1500,2000,MCZ,gbif
476477584,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.62417,41.41222,1500,2000,MCZ,gbif
476473242,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.93752,42.34709,577.75,1981,MCZ,gbif
4539222302,832b8188-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-85.29582,34.67912,40,2009,UF,gbif
4536137327,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45624,42.50371,20,2024,MCZ,gbif
45130572,84b4d6e4-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.92972,41.52611,193,1985,SDNHM,gbif
45130352,84b4d6e4-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.82248,43.36273,366,1985,SDNHM,gbif
45127220,84b4d6e4-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-77.7283,38.7673,1094,1981,SDNHM,gbif
4440115451,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-69.275813,45.9969,1851,2022,YPM,gbif
4440115238,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.99383,41.32193,1851,2015,YPM,gbif
4440114721,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-71.8107,41.606217,1851,2005,YPM,gbif
4440114654,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.5185,41.92831,1851,2008,YPM,gbif
4440114408,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.996411,41.446487,547,2016,YPM,gbif
4440114190,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.181776,41.213967,1851,2003,YPM,gbif
4440114069,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.1666,41.7094,100,2003,YPM,gbif
4440113758,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.113833,41.567183,1851,2006,YPM,gbif
4440113246,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.34,41.419,1820,2006,YPM,gbif
4440113087,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.332296,41.307409,1851,2005,YPM,gbif
4440112477,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-69.008798,46.626189,1851,2022,YPM,gbif
4440112205,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.996148,41.316768,1851,2015,YPM,gbif
4440111989,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.118,41.36,1820,2005,YPM,gbif
4440111188,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.284773,41.290254,1851,2005,YPM,gbif
4440110753,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.730821,41.271603,118,2016,YPM,gbif
4440110661,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.212899,41.722362,1851,2013,YPM,gbif
4440110446,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.27233,41.3067,1851,2004,YPM,gbif
4440110401,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.232818,41.218571,1851,2013,YPM,gbif
4440110398,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.991506,41.323489,1851,2015,YPM,gbif
4440109448,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.15819,41.99081,1851,2017,YPM,gbif
4440109331,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.52075,41.90769,1851,2008,YPM,gbif
4440109131,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.27033,41.3105,1851,2004,YPM,gbif
4440108596,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-73.2583,41.3069,1820,2005,YPM,gbif
4432355315,861d3d64-f762-11e1-a439-00145eb45e9a,Pseudacris crucifer,-72.127115,41.9391,1851,2021,YPM,gbif
4169967706,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-82.724558,38.581468,7,2023,MSB,gbif
4169967686,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-87.13512,36.193099,4,2023,MSB,gbif
4169967679,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-77.385761,38.059912,8,2023,MSB,gbif
4169967518,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-81.542674,34.388429,6,2023,MSB,gbif
4169967465,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-77.403693,38.05982,7,2023,MSB,gbif
4169967448,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-80.482608,37.208769,4,2023,MSB,gbif
4169967420,fb639e31-52eb-4998-afb1-984ee12aca0f,Pseudacris crucifer,-81.542693,34.388418,6,2023,MSB,gbif
